Spot,rate,borrow,vol,maturity,American Price,European Price,AM/EU,Delta_am,Delta_eu,Vega_am,Vega_eu
80.0,0.0025,-0.004,0.1,20.0,2.93314468786483e-13,2.93314468786483e-13,1.0,1.75346861545812e-12,1.75346861545812e-12,1.04209468590815e-11,1.04209468590815e-11
80.0,0.0025,-0.004,0.1,30.0,5.39856518952247e-10,5.39856518952247e-10,1.0,1.37193514810485e-09,1.37193514810485e-09,8.42182706990878e-09,8.42182706990878e-09
80.0,0.0025,-0.004,0.1,40.0,3.78678494527843e-08,3.78678494527843e-08,1.0,7.46154864017726e-08,7.46154864017726e-08,3.61719086231134e-07,3.61719086231134e-07
80.0,0.0025,-0.004,0.1,50.0,6.1908918929288e-07,6.1908918929288e-07,1.0,1.08207776940459e-06,1.08207776940459e-06,4.15452681180849e-06,4.15452681180849e-06
80.0,0.0025,-0.004,0.1,60.0,4.72744284546523e-06,4.72744284546523e-06,1.0,6.1298647398039e-06,6.1298647398039e-06,2.35961163946093e-05,2.35961163946093e-05
82.0,0.0025,-0.004,0.1,10.0,8.83061711660769e-18,8.83061711660769e-18,1.0,9.91909738664883e-17,9.91909738664883e-17,7.81941942717454e-16,7.81941942717454e-16
82.0,0.0025,-0.004,0.1,20.0,2.62694221904514e-11,2.62694221904514e-11,1.0,9.52764655903623e-11,9.52764655903623e-11,5.63385907876662e-10,5.63385907876662e-10
82.0,0.0025,-0.004,0.1,30.0,1.55707068593584e-08,1.55707068593584e-08,1.0,4.02629290989189e-08,4.02629290989189e-08,1.65848534858062e-07,1.65848534858062e-07
82.0,0.0025,-0.004,0.1,40.0,6.23670056026884e-07,6.23670056026884e-07,1.0,1.17415412897131e-06,1.17415412897131e-06,4.12794000218545e-06,4.12794000218545e-06
82.0,0.0025,-0.004,0.1,50.0,6.99647829031706e-06,6.99647829031706e-06,1.0,1.01144498955975e-05,1.01144498955975e-05,3.26786905286739e-05,3.26786905286739e-05
82.0,0.0025,-0.004,0.1,60.0,3.84293096996257e-05,3.84293096996257e-05,1.0,4.52758627752315e-05,4.52758627752315e-05,0.00013780001774362,0.00013780001774362
84.0,0.0025,-0.004,0.1,10.0,4.72636084881692e-15,4.72636084881692e-15,1.0,2.61401680977935e-14,2.61401680977935e-14,2.18567455100712e-13,2.18567455100712e-13
84.0,0.0025,-0.004,0.1,20.0,1.6801704401436e-09,1.6801704401436e-09,1.0,4.90121772039304e-09,4.90121772039304e-09,2.2546017673008e-08,2.2546017673008e-08
84.0,0.0025,-0.004,0.1,30.0,3.86258009375986e-07,3.86258009375986e-07,1.0,8.47475395316381e-07,8.47475395316381e-07,2.69464062283433e-06,2.69464062283433e-06
84.0,0.0025,-0.004,0.1,40.0,8.62624722825951e-06,8.62624722825951e-06,1.0,1.37485308569791e-05,1.37485308569791e-05,3.85004099691267e-05,3.85004099691267e-05
